,country,pca1,pca2,pca3,pca4,pca5,pca6,cluster
0,Afghanistan,-2.913024587396592,0.09562057550550991,-0.7181184950837307,1.0052546410346541,-0.15831004359779277,-0.25459743859132067,Need help
1,Albania,0.429911329931939,-0.5881556664216971,-0.3334855047707417,-1.1610585922524999,0.17467732063237157,0.08457863029384177,Could need help
2,Algeria,-0.2852250773700527,-0.45517441333976577,1.221504809397732,-0.8681145029108556,0.1564746467652492,-0.4016955041026342,Could need help
3,Angola,-2.9324226542292777,1.6955550705215479,1.5250437441647604,0.8396250142267632,-0.27320893369641736,-0.547995865869892,Need help
4,Antigua and Barbuda,1.0335758664708334,0.13665870884235123,-0.22572091671052022,-0.8470626869435726,-0.1930069609149715,-0.206918745735055,Could need help
5,Argentina,0.022407261573744657,-1.779186575829485,0.8699971159280657,-0.03696686672905838,0.9810565073938651,-0.003596090161911032,Could need help
6,Armenia,-0.10158373658107275,-0.568251723841415,0.2420918155010955,-1.466265757562863,-0.05599242822099541,0.28246944390413625,Could need help
7,Australia,2.342164609685882,-1.9884591539619914,0.19034418843710704,1.105037778504476,-0.7311923298243561,-0.15645510150421707,Dont need help
8,Austria,2.973763664204305,-0.7346886586078294,-0.5197663558728408,1.205442104794404,0.0835797057951124,0.09925528632989347,Dont need help
9,Azerbaijan,-0.18148699731199258,-0.40286587348363384,0.8674587430348137,-0.4387729830314608,0.13735047398891156,0.6378362976850294,Could need help
10,Bahamas,1.2687438639868232,-0.65658836325269,-0.48809761577036354,0.055633555263891944,-0.380250385740217,0.22955843491345404,Could need help
11,Bahrain,1.6709963959114884,0.5611624925384964,0.9912583033282927,-0.20708047512597721,-0.39257199204241877,0.008027907060345297,Dont need help
12,Bangladesh,-1.1238509345045713,-0.961397404535292,0.5266148011374583,-1.1972013909496657,-0.6691663315622856,0.3125020215933859,Could need help
13,Barbados,1.0813741969947281,-0.4819695301363476,-0.6643551977676141,-0.5225052332299179,0.002623897990840754,-0.01097775369787149,Could need help
14,Belarus,0.5800251522399533,0.5353268339800483,0.48622751079180954,-1.0352754244616627,0.8233422050874849,0.55651645311645,Could need help
15,Belgium,3.1437859612631374,0.6635479207509845,-0.6452280938470788,1.0948977476642712,0.43973449578701906,-0.17698427611580334,Dont need help
16,Belize,0.21125544693609882,0.6992426623417222,-0.2755608997033954,-1.0956269222861723,-0.2902261713596752,-0.21761857197112788,Could need help
17,Benin,-2.6723138793579464,0.41817212457900893,-0.25736847311472877,0.27867243350496235,-1.4317682465668773,-0.3831771489155912,Need help
18,Bhutan,-0.1565709622345517,0.777395617295995,-0.2773435586811667,-1.03865010841676,0.12306556484145739,0.05231309503563067,Could need help
19,Bolivia,-0.7938515610201606,-0.12026108495343782,0.4007414945174785,-0.724703289950871,-0.22466304289976874,-0.24608055669872386,Could need help
20,Bosnia and Herz.,0.9958671428099952,-0.9718884391705789,-1.5283276010553144,-0.6208847920910453,0.9327631269725918,0.15571614050392535,Could need help
21,Botswana,-0.8820876389925555,0.45736818032562643,-0.5846329491532583,0.40616080954632583,0.3065726828261164,0.9791287430171456,Need help
22,Brazil,0.14078136091759957,-2.1510773058294324,-0.17263515260789808,-0.16691964667764006,0.2986652088562018,0.3275049451795354,Could need help
23,Brunei,2.460086088279993,0.016454043645936098,3.019840393539787,0.7768407507625557,-1.0318089185108579,0.5306619922304558,Dont need help
24,Bulgaria,0.9065945150342399,0.030277605445238435,-0.47120403644802805,-0.9946613960917976,0.005376524728320121,0.23138760806245595,Could need help
25,Burkina Faso,-3.1220534364091463,0.0387749687918404,-0.4557507967148676,1.080917617591445,-0.7281280444760471,-0.287177524315672,Need help
26,Burundi,-2.898970679302679,-0.42266332787881417,-1.347413447753542,1.8214740989134957,0.7121167683995376,-0.5274200850562688,Need help
27,Cambodia,-0.5824118671980256,0.8948203322738484,-0.4987046603266632,-0.8052336215633461,-0.13615527861481494,0.15705402150325457,Could need help
28,Cameroon,-2.807908574902411,0.07864889686740514,-0.3429611164459398,0.5435568442804999,-1.3148679695637,0.06414795413144078,Need help
29,Canada,2.5436305500063696,-1.7270946979437072,-0.3962810227727305,1.3368525476203035,0.06572298737050064,0.01906186471031778,Dont need help
30,Cape Verde,-0.15580145212391752,0.35123545761455754,-0.29208667138951583,-1.3437411025589072,-0.5303478049182019,-0.2088607178844696,Could need help
31,Central African Rep.,-3.9649640194894444,0.3866193194206693,-0.3235569224357528,0.9183010191820019,-1.822389053822871,0.888603185516831,Need help
32,Chad,-3.5575552027002804,1.2891280920966866,-0.10301543297258242,1.2084064181564893,-1.2245622538027918,-0.44026834820320737,Need help
33,Chile,0.9516560554273636,-1.0764282701637686,0.1508208195185201,-0.4366341927535535,0.4201179431964963,-0.13964857141033388,Could need help
34,China,0.0574819803275682,-1.189996519829343,0.4273154880964034,-1.2771788764674794,-0.2288278030778043,0.2697975743847398,Could need help
35,Colombia,0.12114611965107029,-1.7689091360987805,-0.245605887463685,-0.7152088707954765,-0.09594023476074331,-0.01780855408955673,Could need help
36,Comoros,-2.093556430840304,0.34360098781160253,-0.32838127192264344,-0.1189472479797638,-0.8080302745757355,-0.4572553883465568,Need help
37,Dem. Rep. Congo,-3.1733701154043703,1.050381633237965,-0.0012191545644758967,1.574210158394206,0.6479086419441762,-0.5816986317480056,Need help
38,Congo,-1.7256764076372646,2.176348950433863,1.4927193963044199,-0.1385926280260306,0.07119523693091777,-0.3240070762039721,Need help
39,Costa Rica,0.9378266149945543,-1.350472376095965,-0.8211296609579631,-0.2598545923705799,0.9783711286342067,-0.2999581900821206,Could need help
40,Côte d'Ivoire,-2.5817062329578686,1.2078734222116316,-0.23306615749311796,0.6652933592764968,-0.852981081096126,0.007905079345753971,Need help
41,Croatia,1.1488634359443206,-0.8448120464284742,-0.4097125636333385,-0.6229225526817462,-0.10412141979056877,0.14477541115536766,Could need help
42,Cyprus,2.1744549200988783,-0.004510447367102857,0.257319633602923,-0.31185654409981645,-0.4146676736807273,0.038125072013631106,Dont need help
43,Czechia,2.0532632868341687,0.42319827997206144,-0.5433356822627504,-0.41173595880665137,-0.05234718120369969,0.040677276880164176,Could need help
44,Denmark,3.0104918213767764,-0.8655487291060789,-0.3357521666710501,1.7872227818586996,0.10268745663840705,-0.008162691343668217,Dont need help
45,Dominican Rep.,-0.23110292277446612,-0.8806413020766538,-0.03673638159978089,-0.6534328533535868,-0.2054969630424117,-0.13720158511055827,Could need help
46,Ecuador,0.009618332404326678,-1.0452209670773591,-0.2732924412456854,-0.4885137194725952,0.3713000202461909,-0.3636610176337292,Could need help
47,Egypt,-0.8481866985512944,-0.8198189017563529,0.5832897516275515,-0.7452309176181927,-0.2949162582814039,-0.15554940942609224,Could need help
48,El Salvador,0.08186784453623212,-0.5678039433428751,-0.5758775861061619,-0.9765206220816681,0.045804423156912195,-0.09035543154849573,Could need help
49,Eq. Guinea,-1.2934228376741712,2.3636945517207604,1.7793344902490884,1.7372441919826325,0.06076105650313482,0.023865355159454975,Need help
50,Eritrea,-2.4746958976218343,-0.618025236494552,0.8034965729923329,-0.48825623767288817,-0.8561250995912112,-0.16325541665112386,Need help
51,Estonia,1.659083396427703,1.021564472946116,-0.11111620993193143,-0.8631496400453551,-0.025170026266602034,-0.020029341018831633,Could need help
52,Fiji,-0.1888284090725132,1.071764582700433,-0.19049420726292585,-0.9798355966356084,-0.15759186599208203,0.24866809048192956,Could need help
53,Finland,2.458960191794521,-1.0761429369309738,-0.10043903214594646,0.8993283577807992,-0.46473307925965773,-0.08464618056854663,Dont need help
54,France,2.2542707953098278,-1.8666381291670755,-0.7119883121889061,1.2300054815409356,0.10739124217415223,-0.23284944304652896,Dont need help
55,Gabon,-1.4217145532419788,0.3197233583730034,1.5375333579651227,0.18775919034918845,-0.5279559239860682,0.1099160826083719,Need help
56,Gambia,-2.213669582703383,0.22349589624451707,-0.3931112923730636,0.2899141815611887,-0.694392683227075,-0.9439482919972205,Need help
57,Georgia,0.3219422066451594,-0.5182552248417763,-0.9736873191251042,-0.4670617026743929,1.1665326479736409,0.17389141440257572,Could need help
58,Germany,2.6714219518476914,-1.2736099005828212,-0.6561708340287585,1.1259929668852824,0.14339138274990304,0.15642478264596188,Dont need help
59,Ghana,-2.05416692951679,0.38003439318869614,0.4196541092931975,0.09097096512147701,0.18382908612560214,0.040180086419618746,Need help
60,Greece,1.7794929410031526,-1.7653969323374865,-0.6841977738222735,0.2627019175300727,0.07564326870198355,0.02636391812624289,Dont need help
61,Grenada,0.14550479926578844,-0.4313363663231744,-0.4704679977505419,-0.9711678706532477,-0.3845090093760088,0.11506056513153358,Could need help
