,country,pca1,pca2,pca3,pca4,pca5,cluster
0,Afghanistan,-2.9596080602431116,-0.3888857506381254,1.0842714875031942,0.27540966511795834,-0.20997393324474656,Need help
1,Albania,0.3837516262022472,-0.6967088861301887,-1.1640637694491827,0.07897869145645875,0.11000611288063289,Could need help
2,Algeria,-0.0152476307829934,0.3530254951300308,-1.0995335521807164,0.3930560081433638,-0.44324788072884574,Could need help
3,Angola,-2.7487466733110417,2.1431476233178017,0.768844783460657,-0.05512587889874826,-0.612804909963773,Need help
4,Antigua and Barbuda,0.8705528473632724,0.006005184663707173,-0.779199686725738,0.04600960402376395,-0.15954294498625696,Could need help
5,Argentina,0.5076322317934323,-1.0623461470973006,-0.39788547128331275,0.36791948252876283,-0.10853357247363142,Could need help
6,Armenia,-0.07007455352941987,-0.3125180446681115,-1.5571327685748144,0.5228016760880937,0.3310030627858317,Could need help
7,Australia,2.5186246602190443,-0.8898197751140298,0.8812652336141779,1.3753306636022085,-0.0753923664240916,Dont need help
8,Austria,2.938455924760317,-0.776225536241923,1.202765163637279,0.03318118776975247,0.1023461912370326,Dont need help
9,Azerbaijan,0.09322038543378915,0.39745268473771,-0.5634622623383316,-0.4372485715203968,0.5361577243806646,Could need help
10,Bahamas,1.1890949484501756,-0.5374935919675943,0.0873345437566923,0.2605499854796347,0.28709459590243797,Could need help
11,Bahrain,1.6891400836599142,1.1595934313618765,-0.26955653894373366,0.11959249879494514,-0.0028464663402162273,Could need help
12,Bangladesh,-0.9739377127681218,-0.016291173906043226,-1.3262139376803945,0.7216930332271551,0.3630017346513288,Could need help
13,Barbados,0.9665224107021478,-0.6673430074874015,-0.4468864995823106,-0.16507962129465506,0.014503438008633138,Could need help
14,Belarus,0.6083581645228272,0.18625931550291142,-1.0900894034431416,-0.35497344504806966,0.5048172360637222,Could need help
15,Belgium,2.922555646869175,-0.1216711513080364,1.2360689137597136,-0.632817192116876,-0.19751562541715964,Dont need help
16,Belize,0.004180748089560495,0.4960070088541656,-0.9286691839112825,-0.5109518262096456,-0.19523335119554017,Could need help
17,Benin,-2.816518255108536,0.7463604886312655,0.4126542198086036,0.5845046972351173,-0.2701941211857478,Need help
18,Bhutan,-0.36216281902144665,0.17143895592729447,-0.928303018652471,-0.14990241957943087,0.0906693845957172,Could need help
